"peaks","time","vol","treatment","Event","peak_red","time_diff","vol_red","City","Soil","Rain"
800.661254882812,49,6202.85307413118,"1%","100yr",0.0303611837752394,0,0.309177666515459,"Des_Moines","med",7.1
799.679870605469,49,6089.09366462827,"5%","100yr",0.152895690281784,0,2.13749262835342,"Des_Moines","med",7.1
798.477661132812,49,6040.67417556361,"10%","100yr",0.30300217542759,0,2.915679476266,"Des_Moines","med",7.1
797.272827148438,49,5959.95157785304,"15%","100yr",0.453436354072979,0,4.21303442736467,"Des_Moines","med",7.1
796.064636230469,49,5944.76962595223,"20%","100yr",0.60428967556667,0,4.45703525271576,"Des_Moines","med",7.1
65.4904251098633,49,809.360682507117,"1%","1_month",-0.0696783766442092,0,1.6987193352611,"Tampa","med",1.08
65.0302429199219,49,757.136606256542,"5%","1_month",0.633482179495788,0,8.0416189694046,"Tampa","med",1.08
50.982250213623,50,690.966487117279,"10%","1_month",22.0988812756004,5,16.0783417726163,"Tampa","med",1.08
44.1352691650391,50,652.526538770792,"15%","1_month",32.5611006035917,5,20.7470836979603,"Tampa","med",1.08
38.1825790405273,51,616.298039370771,"20%","1_month",41.6568391827264,10,25.147233056034,"Tampa","med",1.08
207.180206298828,49,1708.845090119,"1%","6_month",0.0700140388709289,0,0.795954508120067,"Tampa","med",2.16
206.586288452148,49,1656.3013935857,"5%","6_month",0.35648060409464,0,3.84628791244142,"Tampa","med",2.16
205.72477722168,49,1594.42526542924,"10%","6_month",0.772016463934085,0,7.43839949001437,"Tampa","med",2.16
202.51286315918,49,1536.92027095506,"15%","6_month",2.32123071035215,0,10.7767524635011,"Tampa","med",2.16
193.725036621094,49,1488.57233336244,"20%","6_month",6.5598951960566,0,13.5835083409705,"Tampa","med",2.16
504.871765136719,49,3483.40573800719,"1%","2yr",0.0321349576372068,0,0.383878470285246,"Tampa","med",4.32
503.432220458984,49,3430.95316534789,"5%","2yr",0.317174086389498,0,1.88388227276069,"Tampa","med",4.32
501.495178222656,49,3367.13491000822,"10%","2yr",0.70072093973783,0,3.7089143126309,"Tampa","med",4.32
500.007049560547,49,3306.53931737847,"15%","2yr",0.995380010678619,0,5.44178678674692,"Tampa","med",4.32
497.975402832031,49,3246.32146251633,"20%","2yr",1.3976591635146,0,7.16385696730441,"Tampa","med",4.32
727.596801757812,49,5287.91964405145,"1%","10yr",0.0458226703741805,0,2.42367809707242,"Tampa","med",6.24
726.489562988281,49,5281.08870219572,"5%","10yr",0.197930458710504,0,2.54972732366471,"Tampa","med",6.24
725.899841308594,49,5201.11151058871,"10%","10yr",0.2789439337618,0,4.02552134446005,"Tampa","med",6.24
724.6630859375,49,5233.60160096767,"15%","10yr",0.448844166111666,0,3.42599190171622,"Tampa","med",6.24
723.431091308594,49,5171.38897711578,"20%","10yr",0.618090387795624,0,4.57398192804476,"Tampa","med",6.24
948.786315917969,49,8431.25202756747,"1%","50yr",0.0269211705551337,0,0.500653020423024,"Tampa","med",9.54
947.766479492188,49,8503.53282293413,"5%","50yr",0.134380759376378,0,-0.352351007286298,"Tampa","med",9.54
946.482666015625,49,8373.71709930038,"10%","50yr",0.269655461109938,0,1.17963732457784,"Tampa","med",9.54
945.192321777344,49,8315.44436428187,"15%","50yr",0.405618305521329,0,1.86732867363226,"Tampa","med",9.54
