"surface_runoff","drain","tot_runoff","tot_inflow","high_intensity_runoff","tot_outflow_ft3","sat_outflow_ft3","n_intense_outflow","n_sat_outflow","n_events","city","rain","soil","ratio","frac_high_intensity","frac_intense_events","frac_sat","frac_sat_events","frac_outflow_tot","Fall_sat","Spring_sat","Summer_sat","Winter_sat","Fall_intense","Spring_intense","Summer_intense","Winter_intense","delta_mean","delta_med","dur_mean","dur_med","int_mean","int_med","tot_precip"
15555.7821,24989.0499666667,40544.8320666667,83283.7489166667,13556.9007166667,3877680.15028499,0,14,0,102,"Atlanta","Norm","high",0.1,0.334368155585784,0.137254901960784,0,0,0.486827653582641,0,0,0,0,3322.81941666667,2460.5356,7671.08493333333,102.460766666667,80.019801980198,55,6.12745098039216,3,0.0916984732824428,0.04,48.05
7936.45631666667,16372.5542,24309.0105166667,64461.4896833333,6555.31773333333,2327381.72731003,0,13,0,114,"Atlanta","Dry","high",0.1,0.26966616879938,0.114035087719298,0,0,0.377109040391163,0,0,0,0,2947.67388333333,816.971183333333,2066.89931666667,723.77335,70.7699115044248,40,5.21929824561404,3,0.0838695652173913,0.04,38.58
55719.3864833333,5223.49733333333,60942.8838166667,104386.299383333,50028.3901666667,5827321.68599674,1416959.67662381,38,17,121,"Atlanta","Wet","med",0.1,0.820906183520395,0.31404958677686,0.243157963980058,0.140495867768595,0.583820713797591,799210.8473613,0,580454.72549328,37294.10376923,12094.2751333333,9745.26033333333,21016.9937,7171.861,66.9416666666667,35.5,6.66942148760331,4,0.0946687697160883,0.04,60.02
40063.59965,1076.62283333333,41140.2224833333,83283.7494666667,39962.09905,3933248.36134268,113455.35596153,41,8,102,"Atlanta","Norm","med",0.1,0.971363221630349,0.401960784313726,0.0288452051684832,0.0784313725490196,0.493976589031924,21349.967757525,28759.25651874,15163.491892615,48182.63979265,11196.3298333333,10003.7869,12149.8347333333,6612.14758333333,80.019801980198,55,6.12745098039216,3,0.0916984732824428,0.04,48.05
25784.4284666667,1104.77705,26889.2055166667,64461.48955,23241.9929,2572589.26286494,201606.27317611,30,11,114,"Atlanta","Dry","med",0.1,0.864361458563511,0.263157894736842,0.0783670662418893,0.0964912280701754,0.417135962950559,3884.483600855,0,197721.789575255,0,8655.35695,6005.88496666667,4446.65891666667,4134.09206666667,70.7699115044248,40,5.21929824561404,3,0.0838695652173913,0.04,38.58
70149.7433,10.3295833333333,70160.0728833333,104386.299433333,60509.1485666667,6708764.62111873,1535223.98658079,53,33,121,"Atlanta","Wet","low",0.1,0.862444209077222,0.43801652892562,0.22883855274159,0.272727272727273,0.67211955270185,249293.85165938,9994.89767815,1014438.3485318,261496.888711465,15706.74975,12547.9673833333,24430.3021,7824.12933333333,66.9416666666667,35.5,6.66942148760331,4,0.0946687697160883,0.04,60.02
51390.6198166667,54.9158166666667,51445.5356333333,83283.7494666667,50757.3576,4919329.69013404,780347.71615174,50,17,102,"Atlanta","Norm","low",0.1,0.986623172936945,0.490196078431373,0.158628871270158,0.166666666666667,0.617713971366332,41307.763982595,3655.249865575,429053.626033615,306331.076269955,13358.8594666667,13515.1643166667,14296.4039,9586.92991666667,80.019801980198,55,6.12745098039216,3,0.0916984732824428,0.04,48.05
34122.6751,1.11051666666667,34123.7856166667,64461.4899833333,32455.7090666667,3263910.0449851,660781.34337864,45,16,114,"Atlanta","Dry","low",0.1,0.951116896327432,0.394736842105263,0.202450844009599,0.140350877192982,0.529367000754861,163888.094450575,4471.2897075,491816.514424565,605.444796,10714.4231166667,7125.44591666667,6855.47233333333,7760.3677,70.7699115044248,40,5.21929824561404,3,0.0838695652173913,0.04,38.58
8131.77358333333,33092.8620166667,41224.6356,75081.2845166667,0,3944545.6181472,0,0,0,159,"Seattle","Wet","high",0.1,0,0,0,0,0.54906673301319,0,0,0,0,0,0,0,0,48.1962025316456,23,7.9874213836478,6,0.0430635838150289,0.02,44.7
3821.71266666667,21047.6309166667,24869.3435833333,59760.1959166667,0,2380618.02704412,0,0,0,151,"Seattle","Norm","high",0.1,0,0,0,0,0.416152310109771,0,0,0,0,0,0,0,0,50.3,21.5,8.01324503311258,6,0.0393952483801296,0.03,36.48
0,12124.9904833333,12124.9904833333,43888.5094333333,0,1162547.41133031,0,0,0,151,"Seattle","Dry","high",0.1,0,0,0,0,0.276267994513489,0,0,0,0,0,0,0,0,52.18,21.5,7.04635761589404,5,0.0345833333333333,0.02,28.22
27379.8312333333,11912.7255166667,39292.55675,75081.28455,11192.2412666667,3759418.89417561,1996826.40736997,17,30,159,"Seattle","Wet","med",0.1,0.284843802297662,0.106918238993711,0.53115294240384,0.188679245283019,0.523333570882546,862242.444207485,14288.533411185,26304.383639325,1093991.04611198,6730.29861666667,1097.79276666667,1210.98818333333,2153.1617,48.1962025316456,23,7.9874213836478,6,0.0430635838150289,0.02,44.7
17752.0014666667,7531.69871666667,25283.7001833333,59760.1975166667,11219.6184833333,2418989.60525117,584465.824015645,19,17,151,"Seattle","Norm","med",0.1,0.443749071614492,0.125827814569536,0.241615682327398,0.112582781456954,0.423085954096485,473326.223882435,259.39040556,114.186270385,110766.023457265,5514.1143,750.020566666667,3354.02161666667,1601.462,50.3,21.5,8.01324503311258,6,0.0393952483801296,0.03,36.48
8933.61075,2481.47101666667,11415.0817666667,43888.5111833333,8269.76173333333,1093694.50498687,91839.25614974,17,10,151,"Seattle","Dry","med",0.1,0.7244592638383,0.112582781456954,0.0839715804833838,0.0662251655629139,0.260092708977596,0,84878.30972489,0,6960.94642485,3071.4658,887.817066666667,947.456316666667,3363.02255,52.18,21.5,7.04635761589404,5,0.0345833333333333,0.02,28.22
43014.7025166667,48.3049166666667,43063.0074333333,75081.2846166667,32443.9506833333,4119539.10630647,2658991.22985402,51,80,159,"Seattle","Wet","low",0.1,0.753406522606681,0.320754716981132,0.645458426595213,0.50314465408805,0.573551819913509,1200641.22929718,34292.93748771,129944.310431925,1294112.75263721,16327.51245,3117.78881666667,1393.88711666667,11604.7623,48.1962025316456,23,7.9874213836478,6,0.0430635838150289,0.02,44.7
